Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.22     0.00   601607     0.00     0.00  unsigned int* std::uninitialized_fill_n<unsigned int*, unsigned long, unsigned int>(unsigned int*, unsigned long, unsigned int const&)
  0.00      1.22     0.00   601607     0.00     0.00  unsigned int* std::__uninitialized_fill_n_a<unsigned int*, unsigned long, unsigned int, unsigned int>(unsigned int*, unsigned long, unsigned int const&, std::allocator<unsigned int>&)
  0.00      1.22     0.00   601607     0.00     0.00  unsigned int* std::fill_n<unsigned int*, unsigned long, unsigned int>(unsigned int*, unsigned long, unsigned int const&)
  0.00      1.22     0.00   575574     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >::base() const
  0.00      1.22     0.00   560322     0.00     0.00  unsigned int* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<unsigned int, unsigned int>(unsigned int*, unsigned int*, unsigned int*)
  0.00      1.22     0.00   560322     0.00     0.00  unsigned int* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<unsigned int*>, unsigned int*>(std::move_iterator<unsigned int*>, std::move_iterator<unsigned int*>, unsigned int*)
  0.00      1.22     0.00   560322     0.00     0.00  unsigned int* std::__copy_move_a<true, unsigned int*, unsigned int*>(unsigned int*, unsigned int*, unsigned int*)
  0.00      1.22     0.00   560322     0.00     0.00  unsigned int* std::__copy_move_a1<true, unsigned int*, unsigned int*>(unsigned int*, unsigned int*, unsigned int*)
  0.00      1.22     0.00   560322     0.00     0.00  unsigned int* std::__copy_move_a2<true, unsigned int*, unsigned int*>(unsigned int*, unsigned int*, unsigned int*)
  0.00      1.22     0.00   560322     0.00     0.00  unsigned int* std::__uninitialized_copy_a<std::move_iterator<unsigned int*>, unsigned int*, unsigned int>(std::move_iterator<unsigned int*>, std::move_iterator<unsigned int*>, unsigned int*, std::allocator<unsigned int>&)
  0.00      1.22     0.00   560322     0.00     0.00  unsigned int* std::copy<std::move_iterator<unsigned int*>, unsigned int*>(std::move_iterator<unsigned int*>, std::move_iterator<unsigned int*>, unsigned int*)
